customer_id,total_freq,total_points,points,transaction_date,interval,upper,lower,median,upper-cutoff,lower-cutoff,normal_freq,outlier_freq,normal/abnormal,mean_freq,mean_initial_freq,|fisrt_1_round,fisrt_2_round,fisrt_3_round,fisrt_4_round,fisrt_5_round,fisrt_6_round,fisrt_7_round,fisrt_8_round,fisrt_9_round,fisrt_10_round|,|first_1_round_first_10_percent_freq,first_1_round_first_25_percent_freq,first_1_round_first_50_percent_freq,first_1_round_first_75_percent_freq,first_2_round_first_10_percent_freq,first_2_round_first_25_percent_freq,first_2_round_first_50_percent_freq,first_2_round_first_75_percent_freq,first_3_round_first_10_percent_freq,first_3_round_first_25_percent_freq,first_3_round_first_50_percent_freq,first_3_round_first_75_percent_freq,first_4_round_first_10_percent_freq,first_4_round_first_25_percent_freq,first_4_round_first_50_percent_freq,first_4_round_first_75_percent_freq,first_5_round_first_10_percent_freq,first_5_round_first_25_percent_freq,first_5_round_first_50_percent_freq,first_5_round_first_75_percent_freq,first_6_round_first_10_percent_freq,first_6_round_first_25_percent_freq,first_6_round_first_50_percent_freq,first_6_round_first_75_percent_freq,first_7_round_first_10_percent_freq,first_7_round_first_25_percent_freq,first_7_round_first_50_percent_freq,first_7_round_first_75_percent_freq,first_8_round_first_10_percent_freq,first_8_round_first_25_percent_freq,first_8_round_first_50_percent_freq,first_8_round_first_75_percent_freq,first_9_round_first_10_percent_freq,first_9_round_first_25_percent_freq,first_9_round_first_50_percent_freq,first_9_round_first_75_percent_freq,first_10_round_first_10_percent_freq,first_10_round_first_25_percent_freq,first_10_round_first_50_percent_freq,first_10_round_first_75_percent_freq|,current_day,days_to_last_transaction,discrepancy,tag
114783,7,7,1;1;1;1;1;1;1,3/11/2016;3/29/2016;4/6/2016;4/16/2016;4/18/2016;4/25/2016;5/3/2016,18;8;10;2;7;8,13.60884959,0,8.833333333,30,4,8;10;2;7;8,18,5vs1,7,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,2,-0.714285714,normal
117893,17,23,1;2;1;1;1;1;2;2;2;2;1;1;1;1;1;2;1,3/16/2016;3/19/2016;3/20/2016;3/24/2016;3/30/2016;3/31/2016;4/1/2016;4/7/2016;4/8/2016;4/11/2016;4/12/2016;4/14/2016;4/17/2016;4/18/2016;4/23/2016;4/24/2016;4/30/2016,3;1;4;6;1;1;6;1;3;1;2;3;1;5;1;6,4.756038976,0,2.8125,30,4,3;1;4;1;1;1;3;1;2;3;1;1,6;6;5;6,12vs4,1.833333333,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,5,1.727272727,potential_churn
108730,33,46,1;3;2;1;1;1;1;1;1;2;1;1;2;1;1;2;1;1;1;4;1;1;1;3;2;1;1;1;1;2;1;1;1,2/28/2016;2/29/2016;3/1/2016;3/2/2016;3/3/2016;3/6/2016;3/8/2016;3/11/2016;3/12/2016;3/16/2016;3/18/2016;3/19/2016;3/20/2016;3/22/2016;3/25/2016;3/27/2016;3/29/2016;3/30/2016;3/31/2016;4/1/2016;4/2/2016;4/5/2016;4/7/2016;4/8/2016;4/10/2016;4/11/2016;4/14/2016;4/15/2016;4/17/2016;4/20/2016;4/23/2016;4/26/2016;4/30/2016,1;1;1;1;3;2;3;1;4;2;1;1;2;3;2;2;1;1;1;1;3;2;1;2;1;3;1;2;3;3;3;4,2.903726552,0,1.9375,30,4,1;1;1;1;2;1;2;1;1;2;2;2;1;1;1;1;2;1;2;1;1;2,3;3;4;3;3;3;3;3;3;4,22vs10,1.363636364,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,5,2.666666667,potential_churn
2722,6,16,3;4;2;3;2;2,4/12/2016;4/19/2016;4/21/2016;4/27/2016;4/28/2016;4/29/2016,7;2;6;1;1,5.976819745,0,3.4,30,4,2;1;1,7;6,3vs2,1.333333333,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,6,3.5,potential_churn
112938,13,26,1;1;2;3;3;6;1;2;1;1;3;1;1,3/7/2016;3/20/2016;3/26/2016;4/5/2016;4/7/2016;4/9/2016;4/15/2016;4/16/2016;4/19/2016;4/20/2016;4/22/2016;4/25/2016;4/27/2016,13;6;10;2;2;6;1;3;1;2;3;2,7.904335325,0,4.25,30,4,6;2;2;6;1;3;1;2;3;2,13;10,10vs2,2.8,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,8,1.857142857,potential_churn
118540,10,11,1;1;1;1;1;1;2;1;1;1,3/18/2016;3/19/2016;3/20/2016;3/25/2016;3/27/2016;3/29/2016;4/1/2016;4/2/2016;4/6/2016;4/25/2016,1;1;5;2;2;3;1;4;19,9.61311532,0,4.222222222,30,4,1;1;5;2;2;3;1;4,19,8vs1,2.375,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,10,3.210526316,potential_churn
10107,37,58,3;3;3;1;2;1;1;2;3;1;2;2;2;1;1;1;1;1;2;3;1;2;2;1;1;1;3;1;1;1;1;1;2;1;1;1;1,8/15/2015;8/16/2015;8/22/2015;8/24/2015;8/30/2015;9/12/2015;9/22/2015;9/25/2015;9/30/2015;10/1/2015;10/20/2015;11/6/2015;11/7/2015;11/8/2015;11/20/2015;11/28/2015;12/7/2015;12/12/2015;12/22/2015;1/5/2016;1/9/2016;1/23/2016;1/27/2016;2/5/2016;2/19/2016;3/1/2016;3/5/2016;3/8/2016;3/12/2016;3/17/2016;3/26/2016;4/5/2016;4/9/2016;4/14/2016;4/17/2016;4/18/2016;4/23/2016,1;6;2;6;13;10;3;5;1;19;17;1;1;12;8;9;5;10;14;4;14;4;9;14;11;4;3;4;5;9;10;4;5;3;1;5,11.79583152,0,7,30,4,1;6;2;6;10;3;5;1;1;1;8;9;5;10;4;4;9;11;4;3;4;5;9;10;4;5;3;1;5,13;19;17;12;14;14;14,29vs7,5.137931034,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,12,1.33557047,potential_churn
13926,49,58,1;1;1;2;1;1;1;2;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;1;2;1;1;1,9/2/2015;9/26/2015;10/14/2015;10/17/2015;10/23/2015;10/24/2015;10/27/2015;10/28/2015;10/31/2015;11/3/2015;11/7/2015;11/9/2015;11/12/2015;11/16/2015;11/18/2015;11/20/2015;11/23/2015;11/27/2015;11/28/2015;12/6/2015;12/10/2015;12/15/2015;12/31/2015;1/9/2016;1/10/2016;1/14/2016;1/16/2016;1/17/2016;1/20/2016;1/21/2016;1/23/2016;1/27/2016;1/29/2016;1/30/2016;2/5/2016;2/12/2016;2/14/2016;2/18/2016;2/20/2016;2/21/2016;2/27/2016;2/29/2016;3/11/2016;3/12/2016;3/15/2016;3/26/2016;4/8/2016;4/14/2016;4/23/2016,24;18;3;6;1;3;1;3;3;4;2;3;4;2;2;3;4;1;8;4;5;16;9;1;4;2;1;3;1;2;4;2;1;6;7;2;4;2;1;6;2;11;1;3;11;13;6;9,9.660503282,0,4.875,30,4,3;6;1;3;1;3;3;4;2;3;4;2;2;3;4;1;8;4;5;9;1;4;2;1;3;1;2;4;2;1;6;7;2;4;2;1;6;2;1;3;6;9,24;18;16;11;11;13,42vs6,3.357142857,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,12,2.574468085,potential_churn
113510,16,25,2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1,3/8/2016;3/10/2016;3/12/2016;3/13/2016;3/16/2016;3/19/2016;3/20/2016;3/21/2016;3/26/2016;3/27/2016;3/31/2016;4/12/2016;4/13/2016;4/14/2016;4/15/2016;4/22/2016,2;2;1;3;3;1;1;5;1;4;12;1;1;1;7,5.966479395,0,3,30,4,2;2;1;3;3;1;1;5;1;4;1;1;1,12;7,13vs2,2,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,13,5.5,potential_churn
110241,10,17,1;1;2;2;2;2;3;2;1;1,3/3/2016;3/24/2016;3/25/2016;3/29/2016;3/30/2016;3/31/2016;4/1/2016;4/5/2016;4/7/2016;4/21/2016,21;1;4;1;1;1;4;2;14,12.1957589,0,5.444444444,30,4,1;4;1;1;1;4;2,21;14,7vs2,2,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,14,6,potential_churn
107,69,267,17;6;2;1;2;35;34;2;3;2;2;2;1;2;2;2;1;19;2;2;3;2;2;1;1;3;1;1;1;1;1;4;2;51;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;1;1;1;1;1;1;5;7;1;1;1;2;1;2;1;1;1;1;4,4/21/2015;4/27/2015;4/28/2015;4/29/2015;4/30/2015;5/1/2015;5/3/2015;5/4/2015;5/5/2015;5/6/2015;5/7/2015;5/8/2015;5/9/2015;5/10/2015;5/11/2015;5/13/2015;5/16/2015;5/19/2015;5/22/2015;5/24/2015;5/29/2015;6/2/2015;6/3/2015;6/4/2015;6/5/2015;6/9/2015;6/10/2015;6/13/2015;6/15/2015;6/16/2015;6/19/2015;6/22/2015;6/24/2015;6/25/2015;6/27/2015;6/28/2015;7/2/2015;7/3/2015;7/5/2015;7/6/2015;7/8/2015;7/14/2015;7/18/2015;7/22/2015;7/24/2015;7/25/2015;7/30/2015;8/4/2015;8/5/2015;8/27/2015;8/29/2015;9/6/2015;9/16/2015;9/28/2015;10/8/2015;10/14/2015;10/23/2015;10/28/2015;12/2/2015;12/3/2015;12/7/2015;1/28/2016;2/15/2016;2/18/2016;2/25/2016;3/3/2016;3/7/2016;4/7/2016;4/20/2016,6;1;1;1;1;2;1;1;1;1;1;1;1;1;2;3;3;3;2;5;4;1;1;1;4;1;3;2;1;3;3;2;1;2;1;4;1;2;1;2;6;4;4;2;1;5;5;1;22;2;8;10;12;10;6;9;5;35;1;4;52;18;3;7;7;4;31;13,13.89253176,0,5.367647059,30,4,6;1;1;1;1;2;1;1;1;1;1;1;1;1;2;3;3;3;2;5;4;1;1;1;4;1;3;2;1;3;3;2;1;2;1;4;1;2;1;2;6;4;4;2;1;5;5;1;2;8;10;12;10;6;9;5;1;4;3;7;7;4;13,22;35;52;18;31,63vs5,3.285714286,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,15,3.565217391,potential_churn
345,55,55,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,5/1/2015;5/8/2015;5/13/2015;5/26/2015;5/27/2015;5/29/2015;5/31/2015;6/1/2015;6/4/2015;6/12/2015;6/23/2015;6/25/2015;6/28/2015;6/29/2015;7/1/2015;7/2/2015;7/3/2015;7/5/2015;7/6/2015;7/10/2015;7/13/2015;7/22/2015;7/28/2015;8/7/2015;8/8/2015;8/10/2015;8/11/2015;8/12/2015;8/14/2015;8/23/2015;8/25/2015;10/14/2015;11/22/2015;11/23/2015;11/25/2015;11/29/2015;12/12/2015;1/3/2016;1/10/2016;2/17/2016;2/23/2016;2/27/2016;2/29/2016;3/23/2016;4/1/2016;4/5/2016;4/9/2016;4/14/2016;4/17/2016;4/18/2016;4/20/2016;4/21/2016;4/29/2016;5/3/2016;5/4/2016,7;5;13;1;2;2;1;3;8;11;2;3;1;2;1;1;2;1;4;3;9;6;10;1;2;1;1;2;9;2;50;39;1;2;4;13;22;7;38;6;4;2;23;9;4;4;5;3;1;2;1;8;4;1,16.73610137,0,6.833333333,30,4,7;5;13;1;2;2;1;3;8;11;2;3;1;2;1;1;2;1;4;3;9;6;10;1;2;1;1;2;9;2;1;2;4;13;7;6;4;2;9;4;4;5;3;1;2;1;8;4;1,50;39;22;38;23,49vs5,4.020408163,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,1,-0.751269036,normal
346,7,15,7;2;1;2;1;1;1,5/1/2015;5/15/2015;6/12/2015;7/11/2015;10/3/2015;10/27/2015;4/8/2016,14;28;29;84;24;164,109.988432,0,57.16666667,30,4,14;28;29;84;24,164,5vs1,35.8,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,27,-0.245810056,normal
15166,73,173,9;1;2;3;3;1;2;3;3;2;3;6;3;4;3;2;4;3;1;3;4;2;3;4;2;3;2;5;2;2;3;1;3;1;1;2;2;2;1;2;1;2;3;4;1;1;2;2;2;1;1;3;2;5;1;4;3;3;2;1;1;1;3;2;1;1;2;1;4;1;1;1;2,9/8/2015;9/10/2015;9/11/2015;9/15/2015;9/16/2015;9/17/2015;9/18/2015;9/22/2015;9/23/2015;9/24/2015;9/25/2015;9/29/2015;9/30/2015;10/9/2015;10/10/2015;10/12/2015;10/13/2015;10/14/2015;10/15/2015;10/19/2015;10/20/2015;10/21/2015;10/22/2015;10/23/2015;10/26/2015;10/27/2015;10/28/2015;10/30/2015;11/2/2015;11/3/2015;11/4/2015;11/6/2015;11/10/2015;11/11/2015;11/16/2015;11/18/2015;11/23/2015;11/30/2015;12/1/2015;12/2/2015;12/7/2015;12/8/2015;12/9/2015;12/11/2015;12/14/2015;12/15/2015;12/16/2015;12/18/2015;12/22/2015;12/23/2015;12/24/2015;12/28/2015;12/29/2015;12/31/2015;1/12/2016;1/13/2016;2/22/2016;2/24/2016;2/25/2016;2/26/2016;2/29/2016;3/1/2016;3/2/2016;3/3/2016;3/9/2016;3/15/2016;3/18/2016;3/24/2016;3/25/2016;3/31/2016;4/7/2016;4/18/2016;4/19/2016,2;1;4;1;1;1;4;1;1;1;4;1;9;1;2;1;1;1;4;1;1;1;1;3;1;1;2;3;1;1;2;4;1;5;2;5;7;1;1;5;1;1;2;3;1;1;2;4;1;1;4;1;2;12;1;40;2;1;1;3;1;1;1;6;6;3;6;1;6;7;11;1,8.107097154,0,3.111111111,30,4,2;1;4;1;1;1;4;1;1;1;4;1;1;2;1;1;1;4;1;1;1;1;3;1;1;2;3;1;1;2;4;1;5;2;5;7;1;1;5;1;1;2;3;1;1;2;4;1;1;4;1;2;1;2;1;1;3;1;1;1;6;6;3;6;1;6;7;1,9;12;40;11,68vs4,2.235294118,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,16,6.157894737,potential_churn
115046,5,7,1;1;2;2;1,3/11/2016;3/23/2016;3/25/2016;4/11/2016;4/19/2016,12;2;17;8,15.24431524,0,9.75,30,4,12;2;8,17,3vs1,7.333333333,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,16,1.181818182,potential_churn
341,24,29,1;1;1;1;1;1;4;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1,5/1/2015;5/4/2015;5/13/2015;5/23/2015;5/27/2015;6/6/2015;6/22/2015;7/10/2015;8/21/2015;8/25/2015;8/30/2015;8/31/2015;9/25/2015;9/30/2015;10/25/2015;12/18/2015;1/10/2016;1/31/2016;2/28/2016;3/4/2016;3/5/2016;3/12/2016;3/13/2016;4/16/2016,3;9;10;4;10;16;18;42;4;5;1;25;5;25;54;23;21;28;5;1;7;1;34,29.26775418,0,15.26086957,30,4,3;9;10;4;10;16;18;4;5;1;25;5;25;23;21;28;5;1;7;1,42;54;34,20vs3,11.05,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,19,0.719457014,normal
103542,10,14,1;1;2;1;1;1;2;2;1;2,2/17/2016;2/24/2016;2/27/2016;3/5/2016;3/9/2016;3/24/2016;3/27/2016;3/30/2016;4/9/2016;4/18/2016,7;3;7;4;15;3;3;10;9,10.62998574,0,6.777777778,30,4,7;3;7;4;3;3;10;9,15,8vs1,5.75,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,17,1.956521739,potential_churn
343,11,14,1;1;1;2;1;1;1;2;1;2;1,5/1/2015;8/27/2015;9/28/2015;10/1/2015;12/18/2015;12/30/2015;1/1/2016;1/5/2016;1/9/2016;3/28/2016;4/20/2016,118;32;3;78;12;2;4;4;79;23,74.72817865,0,35.5,30,4,32;3;12;2;4;4;23,118;78;79,7vs3,11.42857143,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,15,0.3125,normal
102556,12,13,1;1;1;1;1;1;1;1;2;1;1;1,2/15/2016;2/17/2016;2/18/2016;2/22/2016;2/25/2016;3/13/2016;3/17/2016;3/25/2016;3/27/2016;4/4/2016;4/16/2016;4/18/2016,2;1;4;3;17;4;8;2;8;12;2,10.53429239,0,5.727272727,30,4,2;1;4;3;4;8;2;8;2,17;12,9vs2,3.777777778,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,17,3.5,potential_churn
348,22,31,4;5;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2,5/1/2015;5/5/2015;5/10/2015;5/16/2015;5/17/2015;5/19/2015;5/23/2015;5/30/2015;6/3/2015;6/6/2015;6/7/2015;7/5/2015;7/11/2015;8/1/2015;9/12/2015;9/26/2015;11/8/2015;11/11/2015;11/14/2015;1/20/2016;1/29/2016;4/13/2016,4;5;6;1;2;4;7;4;3;1;28;6;21;42;14;43;3;3;67;9;75,38.051367,0,16.57142857,30,4,4;5;6;1;2;4;7;4;3;1;28;6;21;14;3;3;9,42;43;67;75,17vs4,7.117647059,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,22,2.090909091,normal
349,11,17,2;1;2;2;1;1;2;2;1;1;2,5/1/2015;5/15/2015;6/19/2015;7/16/2015;7/27/2015;8/4/2015;12/28/2015;12/29/2015;2/4/2016;4/18/2016;5/3/2016,14;35;27;11;8;146;1;37;74;15,78.24828103,0,36.8,30,4,14;35;27;11;8;1;37;74;15,146,9vs1,24.66666667,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,2,-0.918918919,normal
107463,7,12,2;1;2;2;2;1;2,2/26/2016;3/3/2016;3/13/2016;3/14/2016;4/2/2016;4/12/2016;4/18/2016,6;10;1;19;10;6,14.19437465,0,8.666666667,30,4,6;10;1;10;6,19,5vs1,6.6,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,17,1.575757576,potential_churn
104524,6,9,1;2;1;2;2;1,2/19/2016;2/22/2016;3/5/2016;3/10/2016;4/1/2016;4/16/2016,3;12;5;22;15,18.28767014,0,11.4,30,4,3;12;5;15,22,4vs1,8.75,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,19,1.171428571,potential_churn
127494,2,2,1;1,4/3/2016;4/24/2016,21,69.99877224,0,26.86979167,30,4,21,NA,1vs0,NA,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,11,-0.240787171,normal
108836,6,18,7;2;2;1;3;3,2/28/2016;3/2/2016;3/29/2016;3/30/2016;4/9/2016;4/16/2016,3;27;1;10;7,18.84337601,0,9.6,30,4,3;1;10;7,27,4vs1,5.25,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,19,2.619047619,potential_churn
105903,9,10,1;1;1;1;1;2;1;1;1,2/22/2016;2/25/2016;3/6/2016;3/13/2016;3/24/2016;3/25/2016;3/29/2016;4/9/2016;4/15/2016,3;10;7;11;1;4;11;6,10.19352561,0,6.625,30,4,3;10;7;1;4;6,11;11,6vs2,5.166666667,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,20,2.870967742,potential_churn
106905,9,16,2;2;2;1;2;1;2;2;2,2/25/2016;3/7/2016;3/14/2016;3/16/2016;3/18/2016;3/22/2016;3/23/2016;4/13/2016;4/14/2016,11;7;2;2;4;1;21;1,12.61417368,0,6.125,30,4,11;7;2;2;4;1;1,21,7vs1,4,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,21,4.25,potential_churn
95951,7,10,1;2;2;1;1;1;2,1/30/2016;2/21/2016;3/1/2016;3/17/2016;3/30/2016;4/8/2016;4/13/2016,22;9;16;13;9;5,17.86104132,0,12.33333333,30,4,9;16;13;9;5,22,5vs1,10.4,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,22,1.115384615,potential_churn
