customer_id,total_freq,total_points,points,transaction_date,interval,upper,lower,median,upper-cutoff,lower-cutoff,normal_freq,outlier_freq,normal/abnormal,mean_freq,mean_initial_freq,|fisrt_1_round,fisrt_2_round,fisrt_3_round,fisrt_4_round,fisrt_5_round,fisrt_6_round,fisrt_7_round,fisrt_8_round,fisrt_9_round,fisrt_10_round|,|first_1_round_first_10_percent_freq,first_1_round_first_25_percent_freq,first_1_round_first_50_percent_freq,first_1_round_first_75_percent_freq,first_2_round_first_10_percent_freq,first_2_round_first_25_percent_freq,first_2_round_first_50_percent_freq,first_2_round_first_75_percent_freq,first_3_round_first_10_percent_freq,first_3_round_first_25_percent_freq,first_3_round_first_50_percent_freq,first_3_round_first_75_percent_freq,first_4_round_first_10_percent_freq,first_4_round_first_25_percent_freq,first_4_round_first_50_percent_freq,first_4_round_first_75_percent_freq,first_5_round_first_10_percent_freq,first_5_round_first_25_percent_freq,first_5_round_first_50_percent_freq,first_5_round_first_75_percent_freq,first_6_round_first_10_percent_freq,first_6_round_first_25_percent_freq,first_6_round_first_50_percent_freq,first_6_round_first_75_percent_freq,first_7_round_first_10_percent_freq,first_7_round_first_25_percent_freq,first_7_round_first_50_percent_freq,first_7_round_first_75_percent_freq,first_8_round_first_10_percent_freq,first_8_round_first_25_percent_freq,first_8_round_first_50_percent_freq,first_8_round_first_75_percent_freq,first_9_round_first_10_percent_freq,first_9_round_first_25_percent_freq,first_9_round_first_50_percent_freq,first_9_round_first_75_percent_freq,first_10_round_first_10_percent_freq,first_10_round_first_25_percent_freq,first_10_round_first_50_percent_freq,first_10_round_first_75_percent_freq|,current_day,days_to_last_transaction,discrepancy,tag
115797,1,1,1,3/12/2016,NA,NA,NA,26.86979167,30,4,NA,NA,0vs1,NA,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,54,2.727044799,potential_churn
115807,1,1,1,3/12/2016,NA,NA,NA,26.86979167,30,4,NA,NA,0vs1,NA,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,54,2.727044799,potential_churn
115934,1,1,1,3/12/2016,NA,NA,NA,26.86979167,30,4,NA,NA,0vs1,NA,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,54,2.727044799,potential_churn
115735,1,2,2,3/12/2016,NA,NA,NA,26.86979167,30,4,NA,NA,0vs1,NA,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,54,2.727044799,potential_churn
115630,1,1,1,3/12/2016,NA,NA,NA,26.86979167,30,4,NA,NA,0vs1,NA,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,54,2.727044799,potential_churn
115949,1,1,1,3/12/2016,NA,NA,NA,26.86979167,30,4,NA,NA,0vs1,NA,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,54,2.727044799,potential_churn
63178,10,13,1;2;2;1;2;1;1;1;1;1,12/4/2015;12/24/2015;12/31/2015;1/10/2016;1/18/2016;1/20/2016;1/25/2016;1/30/2016;3/3/2016;3/12/2016,20;7;10;8;2;5;5;33;9,20.11652955,0,11,30,4,20;7;10;8;2;5;5;9,33,8vs1,8.25,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,54,5.545454545,potential_churn
11114,5,6,1;2;1;1;1,8/20/2015;8/24/2015;8/31/2015;10/31/2015;5/2/2016,4;7;61;184,136.9006173,0,64,30,4,4;7;61,184,3vs1,24,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,3,-0.875,normal
115572,1,2,2,3/12/2016,NA,NA,NA,26.86979167,30,4,NA,NA,0vs1,NA,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,54,2.727044799,potential_churn
5116,11,11,1;1;1;1;1;1;1;1;1;1;1,7/19/2015;7/24/2015;7/26/2015;7/28/2015;8/30/2015;9/26/2015;9/30/2015;10/1/2015;10/6/2015;11/20/2015;3/12/2016,5;2;2;33;27;4;1;5;45;113,56.9717598,0,23.7,30,4,5;2;2;33;27;4;1;5;45,113,9vs1,13.77777778,14.48869088,|16.4570727719,13.39079229,12.95263158,11.30141287,10.70474517,9.693227092,8.810154525,9.0625,9.887671233,9.05230769231|,|1.0,4,11,35,1,3,9,28,1,4,9,25.5,1,3,8,22,1,3,7,20,1,3,7,18.5,1,3,6.5,14.25,1,3,6.5,16,1,3,7,19,1,2,7,17.0|,5/5/2016,54,2.919354839,potential_churn
